,tweets
23,RT @haroon_natamam: ڈالر مہنگا' علمی منڈی میں نرخ ذیادہ۔ پٹرول اور ڈیزل کی قیمت بڑھانے کے سوا کوئی چارہ نہیں۔ شتر مرغ کی طرح ریت میں سر چھپ…
24,RT @Jooookeeeerrrr: جس کے دستخط شدہ شرٹ کروڑوں میں بکتا ہو اس پر پٹواری گھڑی چوری کا الزام لگاتے ہیں ۔۔!! https://t.co/87IQaaGxPL
25,"RT @KanwalMna: جہاں بھی گی 
داستان چھوڑ آئ"
26,"RT @MashwaniAzhar: جناب دو ماہ ہو گئے ہیں۔۔۔ اب تو کر سیں فیصلہ

#امپورٹڈ_حکومت_نامنظور"
27,RT @Shahmi66: یہ سٹاک ایکسچینج ہیں یا نواز شریف کے پلیٹلیٹس جو مسلسل نیچے آرہا ہیں میرے خیال عدالت اسے بھی 50 روپے سٹام کی ضمانت پر لندن بھ…
28,@PresPMLNPunjab اگر عمران کی ہر بات ماننی ہی ہے تو اپ لوگ حکومت بھی دے دو۔۔۔بلیک میل ہورہے ہو سب کے سب ایک جھوٹے شخص کے بیانات سے۔۔۔۔شرم سے ڈوب مرو
29,RT @sherinzada: فوری الیکشن اور پاکستان میں استحکام لاؤ عمران خان کے جلسوں میں جس طرح لوگ شرکت کر رہے ہیں یہ تاریخ میں پہلی دفعہ ہو رہا ہے
30,"RT @FaizanFayzi: ""اہل حکومت کے کارنامے""
ڈالر 194 روپے کا ہو کر ملکی تاریخ میں بلند ترین سطح پر پہنچ گیا۔ اسٹاک مارکیٹ ایک ہی روز میں 100 پو…"
31,RT @UmarCheema1: یہ ممکن ہی نہیں کہ ذرا کوشش کرنے سے عمران خان کا کوئی ایسا بیان نہ ملے جس میں جناب نے دوسرے سیاستدانوں کا سکیورٹی کے حوالے…
32,"RT @alihusnainsajja: ججز ملازم ہیں یا ادارہ ؟ 
 
22 کروڑ نے چوروں کو پکڑنے کے لئے ادارے بناے ، اور اس میں ملازم ججز رکھے ، اور باقاعدگی سے…"
33,"RT @mtariqmughal122: @SaqibVirkPK @SdqJaan عمران خان عمران خان کرتے رہتے ہو
خود کو عمران خان بناؤ
وہ نبی کریم کو اپنا لیڈر سمجھتا ہے تم بھی…"
34,RT @gulk3990: عوامی لیڈر وہ ہوتا جو عوام کے درمیان ہو وہ نہیں جو پاکستان میں دھرنوں اور اداروں پر حملے کی کالیں دیتا پھریں #توشہ_خان نے عوا…
35,"RT @SHABAZGIL: آن کل ٹیکنوکریٹک سیٹ اپ کی بات ہو رہی ہے۔

ہم نے یہ لوٹا کریٹک سسٹم نہیں مانا تو آپکو کیسے لگتا ہے ٹیکنو والا سودا بک سکے گا…"
36,RT @SIHN92: بہت نعرے لگائے،مارچ کئے،عوام گمراہ کیا کہ #عمران_خان کی حکومت ناکام ہو چکی ہے،مہنگائی نے ملک کو تباہی کے دہانے پر لاکھڑا کیا ہے…
37,@RehamKhan1 لنعت تیرے جیسے لوگ بھی خان صاحب پر باتیں کرتے ہیں جو خان کا بستر گرم کرتے تھے کبھی اگر تو عزت کے قابلِ ہوتی تو وہ شخص کھبی تجھے طلاق نہ دیتا اور ہزاروں لوگ تیرا احترام کرتے لیکن یہ اللہ کا عذاب ہے تیرے جیسی عورت پر کہ تو کسی اک کی نہیں ہو کر رہ سکتی
38,"RT @ShafiqNaman: #عوامی_مجرم_عمران
تحریک انصاف کہہ رہی ہے کہ ملک دیوالیہ ہو رہا ہے، سوال یہ ہے کہ صرف ایک ماہ 14 دنوں میں ایسا کیا ہو گیا ک…"
39,RT @OryaMaqboolJan: ایک طاقتور فراڈیا، ایک غریب کی عمر بھر کی جمع پونجی لوٹ کر اس کے سامنے اکڑتا اور وہ بے بس کچھ نہ کر پاتا ۔ ایک دن اسے و…
40,پشاور عوامی ردعمل کے بدلے اہل علاقہ کو کھانے کھلا کر ویڈو سوشل میڈیا پر اپ لوڈ کرنا اس بات کی عکاسی ہے کے ملک سرلنکا کے موجودہ حالت کی طرف جا رہا ہے اور عوام اس گندی گھٹیا جمہریت سے اوزار ہو چوکے ہیں اگر یہی حال رہا تو سیاست عامر لیاقت جیسی ویڈو جلد اپ لوڈ کریں گے
41,"RT @ManoRana2057: میں خاموش تھا کہ برباد نہ ہو جائے گلشن کا سکوں
نادان یہ سمجھ بیٹھے کہ مجھ میں قوت للکار نہیں
#امپورٹڈ_حکومت_نامنظور 
#imr…"
42,"RT @raoo512: کل احسن اقبال نے شہزاد اقبال کے انٹرویو میں کہا ہے کہ 

ہمیں احساس ہے کہ پٹرول کی قیمت بڑھانا ہی ملک کے لیے درست فیصلہ ہے مگر…"
43,"RT @AnwarLodhi: عمران خان کی گیم ہمیشہ کے لیے ختم ہو گئی ہے
(مریم نواز)

اگر گیم ختم ہے تو پھر آپکی جماعت الیکشن سے کیوں بھاگ رہی ہے؟
کیوں…"
44,RT @Shahmi66: یہ سٹاک ایکسچینج ہیں یا نواز شریف کے پلیٹلیٹس جو مسلسل نیچے آرہا ہیں میرے خیال عدالت اسے بھی 50 روپے سٹام کی ضمانت پر لندن بھ…
45,"RT @sheikhkhurram7: صحت کے باعث آج جلسہ گاہ نہیں جا سکا۔ اپنے قائد کا استقبال کرتے ہوئے دل خوش ہو گیا۔
 #امپورٹڈ_حکومت_نامنظور https://t.co…"
46,"RT @raoo512: کل احسن اقبال نے شہزاد اقبال کے انٹرویو میں کہا ہے کہ 

ہمیں احساس ہے کہ پٹرول کی قیمت بڑھانا ہی ملک کے لیے درست فیصلہ ہے مگر…"
47,RT @law4all3: میرے ایک پٹواری دوست نے مجھے افطاری پر بلایا رمضان تھا میں چلا گیا وہاں پٹواری بڑے فخر سے بڑی فاتحانہ مسکرائٹ کیساتھ کہہ رہے…
48,"RT @shahnazsk: The man is getting dusional. 
اسکا اردو ترجمہ یہی ہو سکتا ہے کہ اس آدمی کا دماغ خراب ہو گیا ہے۔ اگر آپ کبھی پاگل خانے گئے ہو…"
49,"RT @Uzair_120: یار اگر اس گورنمنٹ سے گرمی کنڑول نہیں ہو رہی تو رنڈی کے بچوں استعفے دے دو ۔۔۔
بُرا حال ہو گیا گرمی سے #امپورٹڈ__حکومت__منظور"
50,"RT @RashidK10425837: الیکشن اگلے 3گھنٹوں میں ہو یا 3مہینوں میں تحریک لبیک پاکستان تیار ہے 
#TLP_NarowalJalsa https://t.co/dSipPTmQwI"
51,"RT @ImranRiazFan: خان صاحب نے کہا ہے اگر کوئی بھی لوٹا فیصل آباد سے جیتا تو خان صاحب فیصل آباد نہیں آئیں گے۔ 
منحرف ارکان تو پہلے ہی زلیل ہ…"
52,"RT @8686Ishaq: تم کہہ کر دیکھو تیری سن لے شاید 
دل تو میرا ہے مگر میری مانتا نہیں
ہو جاؤ تیار شیرو
ریٹویٹ مارو
#TLP_NarowalJalsa"
53,RT @RaheeqAbbasi: ان صاحب کو پہچان لیں۔ ان کے ذریعے امریکی سازش کی اگلی قسط جاری کی جائےگی کہ عمران خان کی حکومت اسرائیل کوتسلیم کرنے پر تی…
54,"امریکہ نے ہمیشہ ہمیں دھوکا دیا
اس کی دو جنگوں میں ہمارے دو لاکھ سے زیادہ لوگ مارے گئے
ہمارے سیکیورٹی فورسز کے دس ہزار سے زیادہ جوان شہید ہو گئے
ہزاروں معذور ہیں
ڈیڑھ سو ارب ڈالر کا معاشی نقصان اٹھایا، پھر بھی ہمیں عقل نہیں آئی
ہمارا بھلا کون کر سکتا ہے ؟؟"
55,"RT @raoo512: کل احسن اقبال نے شہزاد اقبال کے انٹرویو میں کہا ہے کہ 

ہمیں احساس ہے کہ پٹرول کی قیمت بڑھانا ہی ملک کے لیے درست فیصلہ ہے مگر…"
56,RT @NajamBajwaa: ”اگر مجھے کچھ ہو گیا تو ویڈیو میں جن لوگوں کے نام ہیں انھیں آپ نے کٹہرے میں کھڑا کرنا ہے مجھے انصاف دلوانا ہے “ عمران خان
57,RT @Qadri8811: *تلوار یا بندوق کا ممبرِرسولؐ تک پہنچنا اس بات کی واضح دلیل ہے کہ جب مسلمانوں پہ ظلم ہو رہاہو تو وہاں اسلام امن کا نہیں غیرت…
58,"RT @IqraKha51220443: پاکستان کو سنبھالو
#الیکشن_کمشنر_استعفیٰ_دو 
#امپورٹڈ__حکومت___نامنظور"
59,RT @ImranRiazKhan: خدارا عمران خان کی بات کو سنجیدہ لیا جائے انہوں نے آجتک اپنے مخالفین کے بارے میں جو کہا سچ ثابت ہوا۔ خدانخواستہ پاکستان…
60,@GFarooqi اس نے جب بھی کسی چیز کا نوٹس لیا وہ چیز مزید خراب ہو گئی۔ آپ خود اسکی واضع مثال ہیں۔
61,"RT @MaleehaHashmey: شہباز شریف نے 14 مئی کو عدالت پیش ہونے سے معذرت کی کہ میری کمر میں درد ہے، میں نہیں آ سکتا

اور جب میری پیشی ہے، اس وقت…"
62,RT @RaheeqAbbasi: ان صاحب کو پہچان لیں۔ ان کے ذریعے امریکی سازش کی اگلی قسط جاری کی جائےگی کہ عمران خان کی حکومت اسرائیل کوتسلیم کرنے پر تی…
63,"RT @Mangomen0: مہنگائی کا تو پتہ نہیں کب ختم ہوگی ۔پر پٹواریوں کی خارش ختم ہو گئی ہے 🤣😮😮
#Faisalabad
#FaisalabadJalsa
#امپورٹڈ_حکومت_نامنظو…"
64,"بھرتی ہوی مہنگائی تو ختم نہ ہو سکی لیکن امپوٹڈ حکومت ختم ہو نے جا رہی ہے. 
امین یا رب العالمین. 
#امپورٹڈ_حکومت_نامنظور"
65,RT @ShkhRasheed: نگران حکومت آنی ہے، آئی ایم ایف کے ساتھ پٹرول گیس بجلی بڑھانی ہے یا الیکشن کرانے ہیں یا گرفتاریاں کرنی ہیں۔ 200 کا ڈالر او…
66,الیکشن میں جانےکاشوق تھا توعدم اعتمادکی کامیابی سے  پہلے الیکشن میں جانےکا کہتے،عمران خان نے اپنے پاؤں پر خودکلہاڑا چلا لیاہے، اب الیکشن تب ہوں گےجب ہمارا قائد لندن سے فیصلہ کرےگا۔
67,@shahidjutt21 فیر تسی جن زاد ہو 🙏😂😂😂
68,"RT @ImranRiazFan_: اگر آج ARY والوں کو خراج تحسین نہ پیش کیا گیا  تو یہ بہت زیادتی ہو گی

 شاباش اے آر وائی

 #امپورٹڈ__حکومت__نامنظور"
69,"RT @Urdu09594889: تم میرے لیے اتنے پریشان سے کیوں ہو
میں ڈوب بھی جاتا تو کہیں اور ابھرتا

منیر نیازی

#اردو_زبان
#اردو"
70,RT @Abbasshabbir72: الیکشن کمیشن کا یہ موقف کہ انتخابات نہیں ہو سکتے ان کے استعفوں کے لیے کافی ہے،فواد چوہدری
71,"@FarrukhHabibISF @mani_bwp اسلام علیکم 
میرے پارٹی کا کوئی ایسا رہمنا ہے جو مجھے میرے کپتان کے ساتھ میری ملاقات کروائے 
زندگی بھر احسان رہے گا 
ٹرینڈ ہو جائے👇🏼
#قائد_انقلاب_عمران_خان https://t.co/PnTqYbCTp0"
72,RT @vaqar_malik: @OyeRaja وقت آگیا ہے کہ قوم یہ فیصلہ کرے کہ آئیندہ کسی ایسے شخص ، جسکی جائیداد اور اولاد باہر ہو ، کو منتخب نہیں کرے گی۔ آ…
73,RT @ShkhRasheed: نگران حکومت آنی ہے، آئی ایم ایف کے ساتھ پٹرول گیس بجلی بڑھانی ہے یا الیکشن کرانے ہیں یا گرفتاریاں کرنی ہیں۔ 200 کا ڈالر او…
74,RT @AAAhmedKurd: کل تک جن یوتھیوں کو آزادی دلوانے کی بات کر رہا تھا آج انہی سے کہہ رہا ہے کہ اگر مجھے کچھ ہو گیا تو آپ لوگ مجھے انصاف دلوائ…
75,RT @InsafPK: مریم نواز اپنے برینڈڈ جوڑے،شوز اور میک اپ سمیت VVIP پروٹوکول میں جلسے سے خطاب کے بجائے ڈھوک ہسو میں ان متوسط گھرانوں کی عورتوں…
76,"RT @SHABAZGIL: آن کل ٹیکنوکریٹک سیٹ اپ کی بات ہو رہی ہے۔

ہم نے یہ لوٹا کریٹک سسٹم نہیں مانا تو آپکو کیسے لگتا ہے ٹیکنو والا سودا بک سکے گا…"
77,"RT @ShahidM90678908: اسلام علیکم !کیسے سب بہن بھائی ٹویٹر پر نیا ہو زیادہ تجربہ نہیں اگر کوئی بات بڑی لگی ہو تو معزرت !
#TLP_NarowalJalsa h…"
78,RT @Ghummans: This is horrendous. یہ سب اسی وقت ہوتا ہے جب آپ کسی سے شدید نفرت میں مبتلا ہو جاتے ہیں۔
79,"RT @ImanFatma3: اگر آج ARY والوں کو خراج تحسین نہ پیش کیا گیا  تو یہ بہت زیادتی ہو گی

 شاباش اے آر وائی"
80,"محبت دکھ نہیں دیتی
اگر بے غرض ہو جذبہ
اگر منزل بنے رستہ 
اگر چاہت کے پردے میں 
کوئی لالچ نہ ہو لپٹا
اگر تم سونپ دو سب کچھ
صلے میں کچھ نہیں مانگو
اگر سودا نہ ہو کوئی 
محبت بس محبت ہو
تو محبت دکھ نہیں دیتی !!!❤️
@itx_Nazish https://t.co/EzOE2Z3c8P"
81,RT @pkpimrangondal: انشاء اللہ عزّوجل
82,"RT @haroon_natamam: روز کہتے ہو کہ تیل کی  قیمت بڑھانے کے سوا کوئی چارہ نہیں ۔ تو بڑھاتے کیوں نہیں۔ 
 کسی نے کہا تھا :   بزدل کا سفینہ کنار…"
83,"💕🇵🇰✌
جو حلالی ہو گا وہ کبھی بھی پاکستان سے غداری نہیں کریں گا آگے آپ سمجھ دار ہے"
84,"RT @ZaibHussani: عمران خان
کی سیکورٹی میں اضافہ کر دیا
97 کمانڈوز بنی گالہ ہاوس پہنچ گئے
سمجھنے والو کیلئے اشارہ ہی کافی ہے
یہ ہے سوشل میڈی…"
85,RT @AAAhmedKurd: کل تک جن یوتھیوں کو آزادی دلوانے کی بات کر رہا تھا آج انہی سے کہہ رہا ہے کہ اگر مجھے کچھ ہو گیا تو آپ لوگ مجھے انصاف دلوائ…
86,"RT @ImranRiazFan_: اگر آج ARY والوں کو خراج تحسین نہ پیش کیا گیا  تو یہ بہت زیادتی ہو گی

 شاباش اے آر وائی

 #امپورٹڈ__حکومت__نامنظور"
87,RT @NEWS_BILAWAL: @PakistanPTI123 @saeeda_abro @BBhuttoZardari @BilalAhmedPPP @asifawan80 @KafiaS @abro_sapna @Sahibabaloch7 @FAZALSU881228…
88,"RT @ShakirAwan88: مسلم لیگ ن کے جلسے میں ہونے والی آتش بازی کے باعث ملحقہ کھیتوں میں میں آگ لگ گئی,,کسانوں کی گندم کی تیار فصلیں چل کر خاکس…"
89,RT @InsafPK: مریم نواز اپنے برینڈڈ جوڑے،شوز اور میک اپ سمیت VVIP پروٹوکول میں جلسے سے خطاب کے بجائے ڈھوک ہسو میں ان متوسط گھرانوں کی عورتوں…
90,"RT @68_adnannabi: @OfficialDGISPR راء سے رابطے اور فنڈنگ، بھارت کو خط لکھ کر پاکستانی فوج کیخلاف مدد مانگنے والی کو گورنر سندھ لگا دیا

الط…"
91,"RT @Masifvr: جس بندے کا 60 سال تک اللہ تعالی پر ایمان نہ ہوں
65 سال کی عمر میں 
خاتم النبیین پڑھنا نہ آتا ہو اور 68 سال کی عمر میں کلمے میں…"
92,RT @InsafPK: مریم نواز اپنے برینڈڈ جوڑے،شوز اور میک اپ سمیت VVIP پروٹوکول میں جلسے سے خطاب کے بجائے ڈھوک ہسو میں ان متوسط گھرانوں کی عورتوں…
93,"RT @arshad_Uc95: ضلع نارووال تحریک لبیک پاکستان کا پاور شو۔
علامہ حافظ سعد حسین رضوی صاحب امیر تحریک لبیک پاکستان
 عوام کی اپنے لیڈر سے محب…"
94,"RT @ImranRiazFan_: اگر آج ARY والوں کو خراج تحسین نہ پیش کیا گیا  تو یہ بہت زیادتی ہو گی

 شاباش اے آر وائی

 #امپورٹڈ__حکومت__نامنظور"
95,RT @InsafPK: مریم نواز اپنے برینڈڈ جوڑے،شوز اور میک اپ سمیت VVIP پروٹوکول میں جلسے سے خطاب کے بجائے ڈھوک ہسو میں ان متوسط گھرانوں کی عورتوں…
96,"RT @raoo512: کل احسن اقبال نے شہزاد اقبال کے انٹرویو میں کہا ہے کہ 

ہمیں احساس ہے کہ پٹرول کی قیمت بڑھانا ہی ملک کے لیے درست فیصلہ ہے مگر…"
97,"RT @AAAhmedKurd: ""الیکشن تب ہوں گے جب ہمارا قائد لندن سے فیصلہ کرےگا""  عمران خان کیلیے مریم نواز کا یہ ایک جملہ اس زہر کی مانند ہے جس کے کھ…"
98,بلکہ، شیخ رشید، فواد، مُراد، حماد، شاہ محمُود، زُلفی، اسد عُمر، پرویز خٹک  اور گل کو ہر وقت ساتھ رکھیں ۔ پانی سے لیکر کھانے تک اور اس کے علاوہ جو بھی چیز ہو ، پہلے ان کو ٹیسٹ کروائیں !!!!!
99,"RT @balochi5252: خان کی حکومت کو گرانے کے بعد،
اورسیز پاکستانیوں نے اپنے پیسے نکلوائے۔
چین ،سعودی عرب، اور یو اے ای نے بھی امداد نہیں دی۔
ا…"
100,RT @ImranRiazKhan: خدارا عمران خان کی بات کو سنجیدہ لیا جائے انہوں نے آجتک اپنے مخالفین کے بارے میں جو کہا سچ ثابت ہوا۔ خدانخواستہ پاکستان…
101,RT @haroon_natamam: ڈالر مہنگا' علمی منڈی میں نرخ ذیادہ۔ پٹرول اور ڈیزل کی قیمت بڑھانے کے سوا کوئی چارہ نہیں۔ شتر مرغ کی طرح ریت میں سر چھپ…
102,RT @UmarCheema1: یہ ممکن ہی نہیں کہ ذرا کوشش کرنے سے عمران خان کا کوئی ایسا بیان نہ ملے جس میں جناب نے دوسرے سیاستدانوں کا سکیورٹی کے حوالے…
103,RT @SSEHBAI1: لوٹوں کی لٹیا ڈوب رہی : 2 دن پہلے تک توسیٹھی باجوہ کی تعریفیں کر رہے تھے آج کیا ہوگیا - برے پھنسے- شاید خبرمل گئی انتخاب ہو ر…
104,RT @haroon_natamam: حمزہ شہباز کی پہلی مہم ناکام۔ مسیحی برادری کو اکسانے اور پی ٹی آئی کے جلسہ عام کو تتر بتر کرنے کی کوشش میں حکومت کا رہا…
105,"@hinaparvezbutt دفع ہو یار پلیز 😑
تمھاری اوقات ہے ملک کی اہم معاملات میں بولنے کی؟؟ 
#امپورٹڈ_حکومت_نامنظور"
106,"RT @ImranRiazFan_: اگر آج ARY والوں کو خراج تحسین نہ پیش کیا گیا  تو یہ بہت زیادتی ہو گی

 شاباش اے آر وائی

 #امپورٹڈ__حکومت__نامنظور"
107,"RT @humeraaa28: السلام علیکم 🌹
صبح بخیر 💞

یہ کہنایارسول اللّٰہﷺبہت مجبورہے
ہری ہوتی نہیں اسکی کبھی شاخِ دعا کہنا
کوئی بےچین ہےطیبہ میں آکر…"
108,"RT @B_Ramay337: مریم گوالمنڈن کہتی ہے کہ میں عمران خان کا نام بھی نا لوں
20 منٹ کی تقریر میں 23 بار عمران خان کا نام لیا 
اس کی تقریر سے لف…"
109,RT @ImranRiazKhan: خدارا عمران خان کی بات کو سنجیدہ لیا جائے انہوں نے آجتک اپنے مخالفین کے بارے میں جو کہا سچ ثابت ہوا۔ خدانخواستہ پاکستان…
110,"روس سے تیل گیس معاہدہ حکومت کی ٹیبل پر پڑا ہے 
جاو وہاں سے سستا تیل خریدو اور عوام کو ریلیف دو کیوں پاکستان کی تباہی کر رہے ہو
ایسی کیا مجبوری ہے روس سے تیل گیس نہیں خرید سکتے"
111,"RT @Abidrazakotla: جس کو کوئی شک ہو زوم وغیرہ کر کے دیکھ لے 😂
 #PMLNGujratJalsa https://t.co/5ro76SVnGv"
112,"RT @MirMAKOfficial: وہ کیا دن ہو گا انشااللہ بہت جلد عمران دوبارہ وزیرِ اعظم ہوگا ۔۔۔۔۔۔۔

آمین۔"
113,"RT @ImranRiazFan_: اگر آج ARY والوں کو خراج تحسین نہ پیش کیا گیا  تو یہ بہت زیادتی ہو گی

 شاباش اے آر وائی

 #امپورٹڈ__حکومت__نامنظور"
114,RT @ImranRiazKhan: خدارا عمران خان کی بات کو سنجیدہ لیا جائے انہوں نے آجتک اپنے مخالفین کے بارے میں جو کہا سچ ثابت ہوا۔ خدانخواستہ پاکستان…
115,@Abidrazakotla ماشاء اللہ آپ کو کوٹلہ ضلع گجرات میں کامیاب جلسہ کرنے پر بہت بہت بہت مبارک باد قبول ہو سلامت رہیں جناب🤲🤲🤲
116,RT @Its_Anwar_Khan: مبارک ہو! ڈالر نے ڈبل سینچری مکمل کر لی۔ اوپن مارکیٹ میں 200 روپے کا ہو گیا
117,RT @InsafPK: مریم نواز اپنے برینڈڈ جوڑے،شوز اور میک اپ سمیت VVIP پروٹوکول میں جلسے سے خطاب کے بجائے ڈھوک ہسو میں ان متوسط گھرانوں کی عورتوں…
118,"RT @Hayyan_khan98: #امپورٹڈ_حکومت_نامنظور 
آج ایکبار وہ وقت یاد آ گیا جب سندھ میں الطاف حسین کے پوسٹر پر تصویر پر کالا رنگ ڈالا جا رہا تھا،…"
119,"@ArySabirShakirl عمران خان عمران خان کرتے رہتے ہو
خود کو عمران خان بناؤ
وہ نبی کریم کو اپنا لیڈر سمجھتا ہے تم بھی سمجھو
وہ کرپشن کا دشمن ہے تم بھی کرپشن کے دشمن بنو
وہ انصاف مانگتا ہے تم بھی انصاف مانگو اور انصاف کرو
جب 22کروڑ عمران خان ہوں گے تو یہ کس کس کو ماریں گے
#امپورٹڈ_حکومت_نامنظور"
120,"RT @SHABAZGIL: آن کل ٹیکنوکریٹک سیٹ اپ کی بات ہو رہی ہے۔

ہم نے یہ لوٹا کریٹک سسٹم نہیں مانا تو آپکو کیسے لگتا ہے ٹیکنو والا سودا بک سکے گا…"
121,RT @Haqeeqat_TV: امریکی ڈالر 194 روپے کا ہوگیا۔ عمران خان کی حکومت نا گرائی ہوتی تو آج ڈالر 175 تک ہی رہتا۔ جتنے دن لیٹ کرو گے اتنی تباہی ہ…
122,"RT @SarfrazCheemaFN: تین سال کی مہنگائی چھ مہینوں میں کنٹرول نہیں کی جاسکتی
 احسن اقبال
 تو بھائی 35 سالوں کی مہنگائی عمران خان تین سالوں م…"
123,RT @soulat_pasha: خان کو کھانے میں زہر بھی دیا جا سکتا ہے ، اس لیے یہ تجویز آئی ہے کہ خان کو جو کھانا دیا جانا ہو اسے پہلے شہباز گل سے اچھی…
124,RT @ImranRaizKhan: 72 گھنٹوں کی افواہیں چل رہی ہیں، لیکن پاکستانیوں الرٹ رہنا ایسا نا ہو کہ 72 گھنٹے کی ٹرک کی بتی کے پیچھے لگا کے ساری قوم…
125,RT @raoo512: پنجاب میں الیکشن کمشن پر دباؤ ڈال کر لوٹوں کو نااہل ہونے سے بچایا جائے ورنہ پٹرول کی قیمت نہیں بڑھائیں گے بے شک ملک تباہ ہو جا…
126,RT @RaheeqAbbasi: ان صاحب کو پہچان لیں۔ ان کے ذریعے امریکی سازش کی اگلی قسط جاری کی جائےگی کہ عمران خان کی حکومت اسرائیل کوتسلیم کرنے پر تی…
