,tweets,cluster,timestamp,type,title
29,تھوڑی بہت سیاست کی سمجھ بوجھ رکھنے والے سیاست کے طالب علم پہلے دن سے یہ دلیل پیش کرتے رہے ہیں کہ جلدی انتخابات نون لیگ کے لیے سب سے بہتر آپشن ہے۔لیکن سیٹھی صاحب سمیت ہمارے چند سینئر دانشور بضد تھے کہ پی ڈی ایم کو حکومتی وقت پورا کرنا چاہیے۔ اب ن لیگ کو دکا کس نے دیا؟؟ https://t.co/1YSqvo9whq,4,Thu May 26 12:17:58 +0000 2022,Tweet,User: tahsohail
30,تباہی و بربادی کیلے نشانات پیچھے چھوڑ کر شر پسندوں نے واپسی کی راہ لے لی۔ لانگ مارچ فلاپ شو ثابت ہوا۔ 6 دن بعد کا لالی پاپ تھما کر کپتان جہاد سے چلتا بنا۔ اب تو اس تماشے باز ریاکار کو پہچاننا مشکل نہیں رہا۔,4,Thu May 26 12:17:58 +0000 2022,Tweet,User: gorsi_ali
31,جب کوئی عدالت عُظمی کی طرف سے سند يافتہ “صادق و امين” ہو تو پھر يہ تصور بھی گُناہ ہے کہ وہ کوئی غلطی يا جُرم کر سکتا ہے چونکہ وہ معصوم ہے                             “ ہم آہ بھی کرتے ہيں تو ہو جاتے ہيں بدنام                 وہ قتل بھی کرتے ہيں تو چرچا نہيں ہوتا “,4,Thu May 26 12:17:58 +0000 2022,Tweet,User: ZaidiAsima
32,ایک بار موسم چیک کر لیں۔ بارش یا گرمی کی پیشین گوئ تو نہیں ہے اس دن؟,4,Thu May 26 12:17:58 +0000 2022,Tweet,User: SajjadAhCh
33,"25/10/43 03:17:57 م
 
⁩؟?⁩

⁦سےفے ⁩فؤغا⁩ فؤقا ⁦كلؤسےت⁩ ⁩ https://t.co/105sGXFL7o",2,Thu May 26 12:17:58 +0000 2022,Tweet,User: Mafalda71330360
34,"RT @bnt_zm: ایک سکے کے دو رخ...
مسیلمہ کذاب و مسیلمہ پنجاب...
یوم نجات
#May26DeathofFalseMessiah",4,Thu May 26 12:17:59 +0000 2022,Tweet,User: QamarLond
35,"پنجابیوں، مرد کے بچے ہو۔ تین دن جو ظلم، جو چھاپے، جو لاٹھی چارج، جو شیلنگ اور حملے برداشت کیے آپ نے، اور تمام حربوں کے باوجود چٹان بن کر کھڑے رہے ہو؛ سرخ سلام ہے آپکی غیرت و حمیت کو۔

ٹو مچ لو یو ہوگیا 💕🙏",4,Thu May 26 12:17:59 +0000 2022,Tweet,User: sallar84
36,RT @UmerInamPk: عمران خان کے فیصلے ن لیگ کو ہمیشہ دیر سے سمجھ آتے ہیں۔۔ اس بار بھی ایسا ہی ہوگا۔۔۔,4,Thu May 26 12:17:59 +0000 2022,Tweet,User: Hassnai53565431
37,"آؤ آج ایک دعا مانگتے ہیں 
اے اللہ پاکستان میں موجود جو جو سیاسی و مذہبی جماعتیں اسلام کا نام (مذہبی کارڈ)
اپنی سیاست کے لیے استعمال کرتے ہیں 
اے اللہ ان جماعتوں انکے قائدین اور انکے پیروکاروں کو دنیا و آخرت میں تباہ و برباد فرما 
آمین
اگر حلال کی اولاد ہو تو آمین بول کر دیکھا دو۔",4,Thu May 26 12:18:00 +0000 2022,Tweet,User: Noobi__________
38,"نبی کریم کی نبوت و رسالت وہ مہردرخشاں ہیں جس کے بعد اب کسی روشنی کی مطلق ضرورت نہیں رہی۔
یوم نجات
#May26DeathofFalseMessiah https://t.co/uKBXMQ0PIL",4,Thu May 26 12:18:00 +0000 2022,Tweet,User: MoonNig40850976
39,آج قومی اسمبلی پاکستان میں ن لیگی پی پی پی نے ظلم کیا بیرون ملک عزیز ترین پاکستانیوں کا ووٹنگ کا حق چھین لیا ہے یہ پاکستانی اپنے خون پسینے کمائی سے سالانہ 30 ارب ڈالر بھیجتے ہیں تو ہمارا خزانہ چلتا ہے ہم آج تک کنگال نہیں ہوئے یہ پاکستانی جوابی کریں ضرور کریں,1,Thu May 26 12:18:00 +0000 2022,Tweet,User: amirbaloch52
40,جناب شہباز شریف اور ان کے فرزند ارجمند حمزہ شہباز کو عدالت نے ایک بار پھر مہلت دے دی' 4جون تک۔ سرکار صلی اللہ علیہ و آلہ وسلم ایک بار پھر یاد آئے: برباد ہوئی وہ قومیں جو اپنے کمزوروں کو سزا دیتی اور طاقتوروں کو چھوڑ دیا کرتی تھیں۔,4,Thu May 26 12:18:00 +0000 2022,Tweet,User: AbidaKh67733221
41,"85/04/2022 50:78:86 م   _سےفے نمشے
https://t.co/npY60gA0pV",2,Thu May 26 12:18:00 +0000 2022,Tweet,User: qycge1653567304
42,"بلاول اپنے لئے لابنگ کر رہا، فضلو عمرہ پر نکل گیا. 
ن والے ذلیل ہو گۓ. 
رہی کسر مریم صفدر نے پوری کر دی، جھوٹا اسلحہ اور 200 لوگ والی چولوں سے😂",4,Thu May 26 12:18:00 +0000 2022,Tweet,User: EmanAmerDar
43,RT @TalatHussain12: ممکن ہے درختوں نے خود سوزی کی ہو؟ میڑو گرمی سے تنگ آ کر سلگنے لگا ہو؟ اس پر ہم کیا کر سکتے ہیں؟,4,Thu May 26 12:18:01 +0000 2022,Tweet,User: kbatool
44,"شرعی نبی ہونے سے انکار مرزا قادیانی نے لکھا: میں مستقل طور پر شریعت لانے والا نہیں ہوں اور نہ ہی مستقل طور پر نبی ہوں۔
(ایک غلطی کا ازالہ ص4,روحانی خزائن18, ص 210)
یوم نجات
#May26DeathofFalseMessiah",4,Thu May 26 12:18:01 +0000 2022,Tweet,User: thany_sha
45,"24/06/2022 66:47:36 م   _سےفے نمشے
https://t.co/npY60gA0pV",2,Thu May 26 12:18:01 +0000 2022,Tweet,User: qycge1653567304
46,"السلامُ علیکم ورحمتہ اللہ وبرکاتہ 🌺
صبح بخیر 🌞

زمین و آسمان کی ہر ہر چیز اللہ پاک
کی پاکی بیان کرتی ہے اور وہی (اللہ )
غالب حکمت والا ہے °

(سورۃ الصف 1) https://t.co/oUpvrS4m80",4,Thu May 26 12:18:01 +0000 2022,Tweet,User: SaleemVVali
47,"26/45/43 04:01:30 م
 
⁩؟?⁩

⁦سےفے ⁩فؤغا⁩ فؤقا ⁦كلؤسےت⁩ ⁩ https://t.co/moMitB53AX",2,Thu May 26 12:18:01 +0000 2022,Tweet,User: turtv1653566384
48,"آج تک سمجھ نہیں آئی کہ ن لیگ کو کیوں ہر وقت اداروں اور عدالتوں کی ترجمانی کرنے کا شوق چڑھا رہتا ہے۔۔ جبکہ وہ آپکو جوتے کی نوک پر رکھتے ہیں۔کبھی تو اپنی اور اپنے سپورٹرز کی عزت نفس کا خیال رکھ لیا کریں

فلاں اداروں پہ حملہ کرتا ہے ، فلاں نے عدالت کو یہ کہہ دیا ۔بس کردیں اب راگنی",4,Thu May 26 12:18:01 +0000 2022,Tweet,User: NasKhan64643734
49,تھوڑی بہت سیاست کی سمجھ بوجھ رکھنے والے سیاست کے طالب علم پہلے دن سے یہ دلیل پیش کرتے رہے ہیں کہ جلدی انتخابات نون لیگ کے لیے سب سے بہتر آپشن ہے۔لیکن سیٹھی صاحب سمیت ہمارے چند سینئر دانشور بضد تھے کہ پی ڈی ایم کو حکومتی وقت پورا کرنا چاہیے۔ اب ن لیگ کو دکا کس نے دیا؟؟ https://t.co/1YSqvo9whq,4,Thu May 26 12:18:01 +0000 2022,Tweet,User: abbasisabb
50,@YAQOOBKHANPMLN خونی و بادی مارچ کے علاج کے لئے۔حکیم رانا ثناء اللہ,4,Thu May 26 12:18:01 +0000 2022,Tweet,User: NaseerAhmedMi10
51,"مرزاقادیانی کالڑکابشیراحمدایم۔اےلکھتاہےکہ دوقسم کےتعلقات ہوتےہیں ایک دینی اوردوسرےدنیوی،دینی تعلق کابھاری ذریعہ عبادت کااکٹھاہوناہےاوردنیاوی تعلقات کا 
بھاری ذریعہ رشتہ و ناطہ ہے۔سو یہ دونوں ہمارےلیےحرام قراردیےگئے۔
(کلمۃ الفصل 169,170)
یوم نجات
#May26DeathofFalseMessiah",4,Thu May 26 12:18:02 +0000 2022,Tweet,User: khizrusmani
52,"💞םבםב رسول اللہ 💞
      خوشا ہجوم بیکساں اے شافع محشر 
🖍جام بھر بھر کے پلائیں ساقیء کوثر ﷺ یہاں 
اے کوثر و تسنیم تیرے میخواروں کی خیر❤️💫
                        ❤ﷺ❤️
#اپنی_زبان_اردو https://t.co/aaddpeGoM1",4,Thu May 26 12:18:02 +0000 2022,Tweet,User: uzmakhan1867
53,"میں تحریک انصاف کا ممبر نہیں لیکن اپنے انصافی دوستوں سےگزارش ہے آپ کےدشمن کے حوصلے پست کرنےکےلئے طعن و تشنیع کریں گے۔ کچھ جذباتی شاید مایوسی والی باتیں کریں ۔ لیکن اپنے لیڈر پر یقین رکھیں۔ انہوں نے ڈی چوک پہنچ کر جن کو طاقت دکھانا تھی دکھادی۔ فتح حق کی ہی ہوگی۔ 
#حقیقی_آذادی_مارچ",4,Thu May 26 12:18:02 +0000 2022,Tweet,User: pak99ThePple
54,"RT @NadeemMansoor1: پھر یُوں ھُوا کہ اندھوں نے مِل کر بُجھا د یا
روشن دِیا جو ان کی نظر میں فضول تھا
#اپنی_زبان_اردو",4,Thu May 26 12:18:02 +0000 2022,Tweet,User: uzmakhan1867
55,"ایک عام آدمی مرزا قادیانی کی ساری زندگی کو اسکی ہی کتابوں سے پڑھ کر اسکی حرکات و سکنات پر اسے شریف آدمی قرار نہیں دےسکتا چہ جائیکہ قادیانی اسے اتنا مقدس عہدہ دیں؟
قادیانیوں نہیں یقین تو مرزے کی کتابیں کھولو اور پڑھو اپنے مرزے کی گندگی کو
یوم نجات
#May26DeathofFalseMessiah",4,Thu May 26 12:18:02 +0000 2022,Tweet,User: aala5678
56,آج قومی اسمبلی پاکستان میں ن لیگی پی پی پی نے ظلم کیا بیرون ملک عزیز ترین پاکستانیوں کا ووٹنگ کا حق چھین لیا ہے یہ پاکستانی اپنے خون پسینے کمائی سے سالانہ 30 ارب ڈالر بھیجتے ہیں تو ہمارا خزانہ چلتا ہے ہم آج تک کنگال نہیں ہوئے یہ پاکستانی جوابی کریں ضرور کریں,1,Thu May 26 12:18:02 +0000 2022,Tweet,User: perceptorz
57,"28/57/43 06:06:30 م
 
⁩؟?⁩

⁦سےفے ⁩فؤغا⁩ فؤقا ⁦كلؤسےت⁩ ⁩",2,Thu May 26 12:18:02 +0000 2022,Tweet,User: turtv1653566384
58,ن لیگ سرمایہ داروں کا ٹولہ ھے ۔۔ جس نے پنجاب میں گلی محلے کی سیاست ختم کی ۔ اور کرپٹ کیا سیاست اور ریاست کو ۔۔۔ ہر کرپٹ ان کی چھتری تلے ہوتا ھے ۔۔ افسر ہو یا سیاستدان,4,Thu May 26 12:18:02 +0000 2022,Tweet,User: aliwaseer1
59,آج قومی اسمبلی پاکستان میں ن لیگی پی پی پی نے ظلم کیا بیرون ملک عزیز ترین پاکستانیوں کا ووٹنگ کا حق چھین لیا ہے یہ پاکستانی اپنے خون پسینے کمائی سے سالانہ 30 ارب ڈالر بھیجتے ہیں تو ہمارا خزانہ چلتا ہے ہم آج تک کنگال نہیں ہوئے یہ پاکستانی جوابی کریں ضرور کریں,1,Thu May 26 12:18:03 +0000 2022,Tweet,User: jamespeter50192
60,"RT @ihsannaseem1: بھاگتے ہیں ننگے پاؤں کہ رانا نہ آ جائے
گوگی کے اسیروں کی یہی خاص ادا ہے 
دوبارہ سناؤ 😜
🙏",4,Thu May 26 12:18:03 +0000 2022,Tweet,User: Abbasanwer4
61,ای وی ایم اور اوورسیز پاکستانیوں کا ووٹ کھا گئے بے شرم۔ اوورسیز پاکستانیو، اپنا اثر و رسوخ پاکستان میں ان بے شرموں کے خلاف اپنی فیملیز کے ذریعے استعمال کرنا اب۔,4,Thu May 26 12:18:03 +0000 2022,Tweet,User: Light5Star1
62,رانا ثنا اللہ صاحب آپکو مان گئے،،، آپ نے پوری پی ٹی آئی کو تگنی کا ناچ نچوا دیا۔۔۔اگر ان کو سپورٹ نہ ملتی تو یہ کسی صورت بھی ڈی چوک نہیں پہنچ سکتے تھے،، بدقسمتی کہ ان کے ساتھ ہمدردی کی گئی جس کے باعث دارالحکومت میں امن و امان کی صورتحال خراب ہوئی @MaryamNSharif https://t.co/ZCfdlbwRC8,4,Thu May 26 12:18:03 +0000 2022,Tweet,User: FatimaBhattilhr
63,"RT @asifsharifhnd: سپریم کورٹ میں بیٹھے فتنے بھی انشاء اللہ ذلیل و رسواء ہو گے
#PakistanRejectsFitna",4,Thu May 26 12:18:03 +0000 2022,Tweet,User: PMLNSMTHND
64,@ImranRiazKhan ایناں دی پہن نوں لن ماریا اے ہمیشہ ای اپنے لوگاں تے ، نہتے لوگاں تے گولیاں چلاندے نے ، سالے دلی دے بچے ، بنگالیاں تے وی چلایاں سن نے تے اوناں نے آزادی حاصل کر کے ایہناں دلیاں توں جان چھدا لئی ۔ لیکن سر جی اسی پنجابی لوک جاہل تے ڈرپوک آ  اسی ذہنی غلام آں ۔,4,Thu May 26 12:18:03 +0000 2022,Tweet,User: Sultanwaqarmah2
65,"03/30/43 03:02:30 م
 
⁩؟?⁩

⁦سےفے ⁩فؤغا⁩ فؤقا ⁦كلؤسےت⁩ ⁩",2,Thu May 26 12:18:03 +0000 2022,Tweet,User: wujzp1653566738
66,"@ICT_Police @akbarnasirkhan @PTVNewsOfficial @RadioPakistan سور کے بچو اللہ تمھیں تباہ و برباد کرے
سارے ظلم تو ڈھا لئے صبح سے اب تک اور کونسا ظلم باقی رہ گیا ہے ڈھانا
#حقیقی_آزادی_مارچ 
#امپورٹڈ__حکومت__نامنظور https://t.co/BUIXgs2Cp8",0,Thu May 26 12:18:03 +0000 2022,Tweet,User: Bewasamakhloq
67,آج قومی اسمبلی پاکستان میں ن لیگی پی پی پی نے ظلم کیا بیرون ملک عزیز ترین پاکستانیوں کا ووٹنگ کا حق چھین لیا ہے یہ پاکستانی اپنے خون پسینے کمائی سے سالانہ 30 ارب ڈالر بھیجتے ہیں تو ہمارا خزانہ چلتا ہے ہم آج تک کنگال نہیں ہوئے یہ پاکستانی جوابی کریں ضرور کریں,1,Thu May 26 12:18:03 +0000 2022,Tweet,User: MohammadAsif311
68,آج قومی اسمبلی پاکستان میں ن لیگی پی پی پی نے ظلم کیا بیرون ملک عزیز ترین پاکستانیوں کا ووٹنگ کا حق چھین لیا ہے یہ پاکستانی اپنے خون پسینے کمائی سے سالانہ 30 ارب ڈالر بھیجتے ہیں تو ہمارا خزانہ چلتا ہے ہم آج تک کنگال نہیں ہوئے یہ پاکستانی جوابی کریں ضرور کریں,1,Thu May 26 12:18:04 +0000 2022,Tweet,User: malikshahzeb8
69,"RT @bnt_zm: ایک سکے کے دو رخ...
مسیلمہ کذاب و مسیلمہ پنجاب...
یوم نجات
#May26DeathofFalseMessiah",4,Thu May 26 12:18:04 +0000 2022,Tweet,User: Kauser38490644
70,"شہبازشریف ن لیگ کے ساتھ کتنا برا ہاتھ ہوا اسکا اندازہ آپکو صحافیوں کی ٹویٹس سے ہو جانا چاہیے.

الیکشن تو ہونے جا رہے اصل کام ہے عمران خان کو 2 تہائی اکثریت سے روکنا اس پر عمران خان کو کام کرنا ہوگا",4,Thu May 26 12:18:04 +0000 2022,Tweet,User: SardarNaveedDo6
71,"اگر ای وی ایم آ جائے تو پاکستان میں بھی بھارت کی طرح عوام کی مرضی کی حکومتیں آنا شروع ہو جائیں اور آہستہ آہستہ ہمارے بھی زرمبادلہ کے ذخائر بڑھ جائیں اور روپیہ مضبوط ہو جائے.
#امپورٹڈ__حکومت__نامنظور",4,Thu May 26 12:18:04 +0000 2022,Tweet,User: AhmadFa70544912
72,"سفید داڑھی والوں نے بشارت دی ہوئی ہے کہ مولا علی کرم اللہ وجہہ الکریم کے شیروں میں سے ایک شیر حاکم عطا ہو گا اس پاکستان کو
انشاءاللہ
جب سفید داڑھی والے کہتے ہیں کہ اللہ کے حکم کا انتظار کریں تو وہ ضرور مصلحت ہوتی ہے اس بات کی۔۔۔۔
جو۔۔۔۔",4,Thu May 26 12:18:04 +0000 2022,Tweet,User: haroon_sandhila
73,آج قومی اسمبلی پاکستان میں ن لیگی پی پی پی نے ظلم کیا بیرون ملک عزیز ترین پاکستانیوں کا ووٹنگ کا حق چھین لیا ہے یہ پاکستانی اپنے خون پسینے کمائی سے سالانہ 30 ارب ڈالر بھیجتے ہیں تو ہمارا خزانہ چلتا ہے ہم آج تک کنگال نہیں ہوئے یہ پاکستانی جوابی کریں ضرور کریں,1,Thu May 26 12:18:04 +0000 2022,Tweet,User: AzamsKhan
74,"لرزتے ہیں جن کی للکار سے اہل باطل کے بت

سنا ہے کہ وہ شیر پھر کراچی آ رہا ہے
#28maysunniconferencekhi",4,Thu May 26 12:18:04 +0000 2022,Tweet,User: HusnainKareemi
